filepath,class,infraclass,filename,set
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703082739.png,anthracnose,anthrac_black_lesion,IMG20250703082739.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703082816.png,anthracnose,anthrac_rusty_lesion,IMG20250703082816.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_medium\IMG20250703082939.png,melanose,melanose_medium,IMG20250703082939.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083030.png,anthracnose,anthrac_rusty_lesion,IMG20250703083030.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_small\IMG20250703083042.png,melanose,melanose_small,IMG20250703083042.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083049.png,anthracnose,anthrac_rusty_lesion,IMG20250703083049.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083056.png,anthracnose,anthrac_rusty_lesion,IMG20250703083056.png,test
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083121.png,anthracnose,anthrac_rusty_lesion,IMG20250703083121.png,val
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083128.png,anthracnose,anthrac_rusty_lesion,IMG20250703083128.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_small\IMG20250703083143.png,melanose,melanose_small,IMG20250703083143.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083205.png,anthracnose,anthrac_rusty_lesion,IMG20250703083205.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083220.png,anthracnose,anthrac_rusty_lesion,IMG20250703083220.png,test
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703083239.png,anthracnose,anthrac_black_lesion,IMG20250703083239.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703083249.png,anthracnose,anthrac_black_lesion,IMG20250703083249.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_early\IMG20250703083314.png,melanose,melanose_early,IMG20250703083314.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083330.png,anthracnose,anthrac_rusty_lesion,IMG20250703083330.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_small\IMG20250703083336.png,melanose,melanose_small,IMG20250703083336.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083520.png,anthracnose,anthrac_rusty_lesion,IMG20250703083520.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083621.png,anthracnose,anthrac_rusty_lesion,IMG20250703083621.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\borer\borer_vertical_scar\IMG20250703083634.png,borer,borer_vertical_scar,IMG20250703083634.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083725.png,anthracnose,anthrac_rusty_lesion,IMG20250703083725.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083729.png,anthracnose,anthrac_rusty_lesion,IMG20250703083729.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083732.png,anthracnose,anthrac_rusty_lesion,IMG20250703083732.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083803.png,anthracnose,anthrac_rusty_lesion,IMG20250703083803.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083809.png,anthracnose,anthrac_rusty_lesion,IMG20250703083809.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703083842.png,anthracnose,anthrac_black_lesion,IMG20250703083842.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703083859.png,anthracnose,anthrac_black_lesion,IMG20250703083859.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703083910.png,anthracnose,anthrac_black_lesion,IMG20250703083910.png,val
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_small\IMG20250703083921.png,melanose,melanose_small,IMG20250703083921.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703083933.png,anthracnose,anthrac_rusty_lesion,IMG20250703083933.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\melanose\melanose_small\IMG20250703084009.png,melanose,melanose_small,IMG20250703084009.png,val
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_black_lesion\IMG20250703084105.png,anthracnose,anthrac_black_lesion,IMG20250703084105.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703084121.png,anthracnose,anthrac_rusty_lesion,IMG20250703084121.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703084128.png,anthracnose,anthrac_rusty_lesion,IMG20250703084128.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703084141.png,anthracnose,anthrac_rusty_lesion,IMG20250703084141.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\blackspot\blackspot_medium\IMG20250703084150.png,blackspot,blackspot_medium,IMG20250703084150.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\borer\borer_multiple_holes\IMG20250703084155.png,borer,borer_multiple_holes,IMG20250703084155.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\mites\mites_scrapes\IMG20250703084201.png,mites,mites_scrapes,IMG20250703084201.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703084210.png,anthracnose,anthrac_rusty_lesion,IMG20250703084210.png,train
C:\Users\giant\Projects\pomelo-disease-classification\images\enhanced\anthracnose\anthrac_rusty_lesion\IMG20250703084223.png,anthracnose,anthrac_rusty_lesion,IMG20250703084223.png,train
