augpath,source,augment_index,class,infraclass
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739.jpg,IMG20250703082739.png,0,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739_aug26.jpg,IMG20250703082739.png,26,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739_aug53.jpg,IMG20250703082739.png,53,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739_aug89.jpg,IMG20250703082739.png,89,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739_aug141.jpg,IMG20250703082739.png,141,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739_aug208.jpg,IMG20250703082739.png,208,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_black_lesion\IMG20250703082739_aug248.jpg,IMG20250703082739.png,248,anthracnose,anthrac_black_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703082816.jpg,IMG20250703082816.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703082816_aug37.jpg,IMG20250703082816.png,37,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703082816_aug78.jpg,IMG20250703082816.png,78,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703082816_aug144.jpg,IMG20250703082816.png,144,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703082816_aug272.jpg,IMG20250703082816.png,272,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703082816_aug292.jpg,IMG20250703082816.png,292,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_medium\IMG20250703082939.jpg,IMG20250703082939.png,0,melanose,melanose_medium
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_medium\IMG20250703082939_aug36.jpg,IMG20250703082939.png,36,melanose,melanose_medium
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_medium\IMG20250703082939_aug98.jpg,IMG20250703082939.png,98,melanose,melanose_medium
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_medium\IMG20250703082939_aug139.jpg,IMG20250703082939.png,139,melanose,melanose_medium
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_medium\IMG20250703082939_aug237.jpg,IMG20250703082939.png,237,melanose,melanose_medium
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030.jpg,IMG20250703083030.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030_aug53.jpg,IMG20250703083030.png,53,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030_aug107.jpg,IMG20250703083030.png,107,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030_aug154.jpg,IMG20250703083030.png,154,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030_aug243.jpg,IMG20250703083030.png,243,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030_aug301.jpg,IMG20250703083030.png,301,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083030_aug386.jpg,IMG20250703083030.png,386,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083042.jpg,IMG20250703083042.png,0,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083042_aug122.jpg,IMG20250703083042.png,122,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083042_aug288.jpg,IMG20250703083042.png,288,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049.jpg,IMG20250703083049.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049_aug54.jpg,IMG20250703083049.png,54,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049_aug135.jpg,IMG20250703083049.png,135,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049_aug173.jpg,IMG20250703083049.png,173,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049_aug260.jpg,IMG20250703083049.png,260,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049_aug316.jpg,IMG20250703083049.png,316,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083049_aug381.jpg,IMG20250703083049.png,381,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083128.jpg,IMG20250703083128.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083128_aug68.jpg,IMG20250703083128.png,68,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083128_aug127.jpg,IMG20250703083128.png,127,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083128_aug184.jpg,IMG20250703083128.png,184,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083128_aug245.jpg,IMG20250703083128.png,245,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083128_aug334.jpg,IMG20250703083128.png,334,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083143.jpg,IMG20250703083143.png,0,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083143_aug24.jpg,IMG20250703083143.png,24,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083143_aug160.jpg,IMG20250703083143.png,160,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\melanose\melanose_small\IMG20250703083143_aug324.jpg,IMG20250703083143.png,324,melanose,melanose_small
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205.jpg,IMG20250703083205.png,0,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205_aug13.jpg,IMG20250703083205.png,13,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205_aug120.jpg,IMG20250703083205.png,120,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205_aug140.jpg,IMG20250703083205.png,140,anthracnose,anthrac_rusty_lesion
C:\Users\giant\Projects\pomelo-disease-classification\models\outputs\mobv2_20251103132122\augments\anthracnose\anthrac_rusty_lesion\IMG20250703083205_aug229.jpg,IMG20250703083205.png,229,anthracnose,anthrac_rusty_lesion
