Name,Class,Status,Mask Index Override,X Point Override,Y Point Override
IMG20250703082739,Unlabeled,Unprocessed,,,
IMG20250703082750,Unlabeled,Unprocessed,,,
IMG20250703082806,Unlabeled,Unprocessed,,,
IMG20250703082816,Unlabeled,Unprocessed,,,
IMG20250703082830,Unlabeled,Unprocessed,,,
IMG20250703082833,Unlabeled,Unprocessed,,,
IMG20250703082912,Unlabeled,Unprocessed,,,
IMG20250703082919,Unlabeled,Unprocessed,,,
IMG20250703082922,Unlabeled,Unprocessed,,,
IMG20250703082939,Unlabeled,Unprocessed,,,
IMG20250703082957,Unlabeled,Unprocessed,,,
IMG20250703083020,Unlabeled,Unprocessed,,,
IMG20250703083030,Unlabeled,Unprocessed,,,
IMG20250703083042,Unlabeled,Unprocessed,,,
IMG20250703083049,Unlabeled,Unprocessed,,,
IMG20250703083056,Unlabeled,Unprocessed,,,
IMG20250703083106,Unlabeled,Unprocessed,,,
IMG20250703083121,Unlabeled,Unprocessed,,,
IMG20250703083128,Unlabeled,Unprocessed,,,
IMG20250703083143,Unlabeled,Unprocessed,,,
IMG20250703083149,Unlabeled,Unprocessed,,,
IMG20250703083159,Unlabeled,Unprocessed,,,
IMG20250703083205,Unlabeled,Unprocessed,,,
IMG20250703083214,Unlabeled,Unprocessed,,,
IMG20250703083220,Unlabeled,Unprocessed,,,
IMG20250703083223,Unlabeled,Unprocessed,,,
IMG20250703083239,Unlabeled,Unprocessed,,,
IMG20250703083249,Unlabeled,Unprocessed,,,
IMG20250703083311,Unlabeled,Unprocessed,,,
IMG20250703083314,Unlabeled,Unprocessed,,,
IMG20250703083319,Unlabeled,Unprocessed,,,
IMG20250703083326,Unlabeled,Unprocessed,,,
IMG20250703083330,Unlabeled,Unprocessed,,,
IMG20250703083336,Unlabeled,Unprocessed,,,
IMG20250703083340,Unlabeled,Unprocessed,,,
IMG20250703083352,Unlabeled,Unprocessed,,,
IMG20250703083357,Unlabeled,Unprocessed,,,
IMG20250703083402,Unlabeled,Unprocessed,,,
IMG20250703083508,Unlabeled,Unprocessed,,,
IMG20250703083513,Unlabeled,Unprocessed,,,
IMG20250703083520,Anthracnose,Extracted,,,
IMG20250703083621,Unlabeled,Unprocessed,,,
IMG20250703083634,Unlabeled,Unprocessed,,,
IMG20250703083713,Unlabeled,Unprocessed,,,
IMG20250703083721,Unlabeled,Unprocessed,,,
IMG20250703083725,Unlabeled,Unprocessed,,,
IMG20250703083729,Unlabeled,Unprocessed,,,
IMG20250703083732,Unlabeled,Unprocessed,,,
IMG20250703083803,Unlabeled,Unprocessed,,,
IMG20250703083809,Unlabeled,Unprocessed,,,
IMG20250703083815,Unlabeled,Unprocessed,,,
IMG20250703083827,Unlabeled,Unprocessed,,,
IMG20250703083842,Unlabeled,Unprocessed,,,
IMG20250703083848,Unlabeled,Unprocessed,,,
IMG20250703083851,Unlabeled,Unprocessed,,,
IMG20250703083854,Unlabeled,Unprocessed,,,
IMG20250703083859,Unlabeled,Unprocessed,,,
IMG20250703083903,Unlabeled,Unprocessed,,,
IMG20250703083910,Unlabeled,Unprocessed,,,
IMG20250703083921,Unlabeled,Unprocessed,,,
IMG20250703083933,Unlabeled,Unprocessed,,,
IMG20250703083940,Unlabeled,Unprocessed,,,
IMG20250703083947,Unlabeled,Unprocessed,,,
IMG20250703083951,Unlabeled,Unprocessed,,,
IMG20250703084009,Unlabeled,Unprocessed,,,
IMG20250703084016,Unlabeled,Unprocessed,,,
IMG20250703084019,Unlabeled,Unprocessed,,,
IMG20250703084026,Unlabeled,Unprocessed,,,
IMG20250703084030,Unlabeled,Unprocessed,,,
IMG20250703084033,Unlabeled,Unprocessed,,,
IMG20250703084045,Unlabeled,Unprocessed,,,
IMG20250703084058,Unlabeled,Unprocessed,,,
IMG20250703084105,Unlabeled,Unprocessed,,,
IMG20250703084114,Unlabeled,Unprocessed,,,
IMG20250703084121,Unlabeled,Unprocessed,,,
IMG20250703084128,Unlabeled,Unprocessed,,,
IMG20250703084134,Unlabeled,Unprocessed,,,
IMG20250703084141,Unlabeled,Unprocessed,,,
IMG20250703084147,Unlabeled,Unprocessed,,,
IMG20250703084150,Unlabeled,Unprocessed,,,
