Name,Class,Status,Mask Index Override,X Point Override,Y Point Override,Debug
IMG20250703082739,Unlabeled,Processed,,,,FALSE
IMG20250703082750,Unlabeled,Processed,,,,FALSE
IMG20250703082806,Unlabeled,Processed,,,,FALSE
IMG20250703082816,Unlabeled,Processed,,,,FALSE
IMG20250703082830,Unlabeled,Processed,,,,FALSE
IMG20250703082833,Unlabeled,Processed,,,,FALSE
IMG20250703082912,Unlabeled,Processed,,,,FALSE
IMG20250703082919,Unlabeled,Processed,,,,FALSE
IMG20250703082922,Unlabeled,Processed,,,,FALSE
IMG20250703082939,Unlabeled,Processed,,,,FALSE
IMG20250703082957,Unlabeled,Processed,,,,FALSE
IMG20250703083020,Unlabeled,Processed,,,,FALSE
IMG20250703083030,Unlabeled,Processed,,,,FALSE
IMG20250703083042,Unlabeled,Processed,,,,FALSE
IMG20250703083049,Unlabeled,Processed,,,,FALSE
IMG20250703083056,Unlabeled,Processed,,,,FALSE
IMG20250703083106,Unlabeled,Processed,,,,FALSE
IMG20250703083121,Unlabeled,Processed,,,,FALSE
IMG20250703083128,Unlabeled,Processed,,,,FALSE
IMG20250703083143,Unlabeled,Processed,,,,FALSE
IMG20250703083149,Unlabeled,Processed,,,,FALSE
IMG20250703083159,Unlabeled,Processed,,,,FALSE
IMG20250703083205,Unlabeled,Processed,,,,FALSE
IMG20250703083214,Unlabeled,Processed,,,,FALSE
IMG20250703083220,Unlabeled,Processed,,,,FALSE
IMG20250703083223,Unlabeled,Processed,,,,FALSE
IMG20250703083239,Unlabeled,Processed,,960,1635,FALSE
IMG20250703083249,Unlabeled,Processed,,,,FALSE
IMG20250703083311,Unlabeled,Processed,,,,FALSE
IMG20250703083314,Unlabeled,Processed,,,,FALSE
IMG20250703083319,Unlabeled,Processed,,,,FALSE
IMG20250703083326,Unlabeled,Processed,,,,FALSE
IMG20250703083330,Unlabeled,Processed,,,,FALSE
IMG20250703083336,Unlabeled,Processed,,,,FALSE
IMG20250703083340,Unlabeled,Processed,,,,FALSE
IMG20250703083352,Unlabeled,Processed,,,,FALSE
IMG20250703083357,Unlabeled,Processed,,,,FALSE
IMG20250703083402,Unlabeled,Processed,,,,FALSE
IMG20250703083508,Unlabeled,Processed,,,,FALSE
IMG20250703083513,Unlabeled,Processed,,,,FALSE
IMG20250703083520,Anthracnose,Processed,,,,FALSE
IMG20250703083621,Unlabeled,Processed,,,,FALSE
IMG20250703083634,Unlabeled,Processed,,947,2122,FALSE
IMG20250703083713,Unlabeled,Processed,,,,FALSE
IMG20250703083721,Unlabeled,Processed,,,,FALSE
IMG20250703083725,Unlabeled,Processed,,,,FALSE
IMG20250703083729,Unlabeled,Processed,,,,FALSE
IMG20250703083732,Unlabeled,Processed,,,,FALSE
IMG20250703083803,Unlabeled,Processed,,,,FALSE
