Name,Class
IMG20250703082739,Unlabeled
IMG20250703082750,Unlabeled
IMG20250703082806,Unlabeled
IMG20250703082816,Unlabeled
IMG20250703082830,Unlabeled
IMG20250703082833,Unlabeled
IMG20250703082912,Unlabeled
IMG20250703082919,Unlabeled
IMG20250703082922,Unlabeled
IMG20250703082939,Unlabeled
IMG20250703082957,Unlabeled
IMG20250703083020,Unlabeled
IMG20250703083030,Unlabeled
IMG20250703083042,Unlabeled
IMG20250703083049,Unlabeled
IMG20250703083056,Unlabeled
IMG20250703083106,Unlabeled
IMG20250703083121,Unlabeled
IMG20250703083128,Unlabeled
IMG20250703083143,Unlabeled
IMG20250703083149,Unlabeled
IMG20250703083159,Unlabeled
IMG20250703083205,Unlabeled
IMG20250703083214,Unlabeled
IMG20250703083220,Unlabeled
IMG20250703083223,Unlabeled
IMG20250703083239,Unlabeled
IMG20250703083249,Unlabeled
IMG20250703083311,Unlabeled
IMG20250703083314,Unlabeled
IMG20250703083319,Unlabeled
IMG20250703083326,Unlabeled
IMG20250703083330,Unlabeled
IMG20250703083336,Unlabeled
IMG20250703083340,Unlabeled
IMG20250703083352,Unlabeled
IMG20250703083357,Unlabeled
IMG20250703083402,Unlabeled
IMG20250703083508,Unlabeled
IMG20250703083513,Unlabeled
IMG20250703083520,Anthracnose
IMG20250703083621,Unlabeled
IMG20250703083634,Unlabeled
IMG20250703083713,Unlabeled
IMG20250703083721,Unlabeled
IMG20250703083725,Unlabeled
IMG20250703083729,Unlabeled
IMG20250703083732,Unlabeled
IMG20250703083803,Unlabeled
IMG20250703083809,Unlabeled
IMG20250703083815,Unlabeled
IMG20250703083827,Unlabeled
IMG20250703083842,Unlabeled
IMG20250703083848,Unlabeled
IMG20250703083851,Unlabeled
IMG20250703083854,Unlabeled
IMG20250703083859,Unlabeled
IMG20250703083903,Unlabeled
IMG20250703083910,Unlabeled
IMG20250703083921,Unlabeled
IMG20250703083933,Unlabeled
IMG20250703083940,Unlabeled
IMG20250703083947,Unlabeled
IMG20250703083951,Unlabeled
IMG20250703084009,Unlabeled
IMG20250703084016,Unlabeled
IMG20250703084019,Unlabeled
IMG20250703084026,Unlabeled
IMG20250703084030,Unlabeled
IMG20250703084033,Unlabeled
IMG20250703084045,Unlabeled
IMG20250703084058,Unlabeled
IMG20250703084105,Unlabeled
IMG20250703084114,Unlabeled
IMG20250703084121,Unlabeled
IMG20250703084128,Unlabeled
IMG20250703084134,Unlabeled
IMG20250703084141,Unlabeled
IMG20250703084147,Unlabeled
IMG20250703084150,Unlabeled
IMG20250703084155,Unlabeled
IMG20250703084201,Unlabeled
IMG20250703084210,Unlabeled
IMG20250703084216,Canker
IMG20250703084223,Unlabeled
IMG20250703084226,Unlabeled
IMG20250703084230,Unlabeled
IMG20250703084237,Unlabeled
IMG20250703084242,Unlabeled
IMG20250703084411,Unlabeled
IMG20250703084420,Unlabeled
IMG20250703084432,Unlabeled
IMG20250703084443,Anthracnose
IMG20250703084456,Anthracnose
IMG20250703084507,Unlabeled
IMG20250703084530,Unlabeled
IMG20250703084546,Unlabeled
IMG20250703084600,Unlabeled
IMG20250703084612,Unlabeled
IMG20250703084621,Unlabeled
IMG20250703084625,Unlabeled
IMG20250703084638,Unlabeled
IMG20250703084649,Unlabeled
IMG20250703084659,Unlabeled
IMG20250703084713,Unlabeled
IMG20250703084739,Anthracnose
IMG20250703084748,Unlabeled
IMG20250703084756,Unlabeled
IMG20250703084804,Unlabeled
IMG20250703084811,Unlabeled
IMG20250703084817,Anthracnose
IMG20250703084829,Unlabeled
IMG20250703084833,Unlabeled
IMG20250703084839,Unlabeled
IMG20250703084848,Anthracnose
IMG20250703084857,Anthracnose
IMG20250703084904,Unlabeled
IMG20250703084918,Unlabeled
IMG20250703084932,Unlabeled
IMG20250703084935,Unlabeled
IMG20250703085016,Unlabeled
IMG20250703085020,Unlabeled
IMG20250703085029,Unlabeled
IMG20250703085039,Anthracnose
IMG20250703085050,Anthracnose
IMG20250703085055,Anthracnose
IMG20250703085101,Unlabeled
IMG20250703085104,Unlabeled
IMG20250703085110,Unlabeled
IMG20250703085125,Unlabeled
IMG20250703085130,Unlabeled
IMG20250703085232,Unlabeled
IMG20250703085534,Unlabeled
IMG20250703085540,Unlabeled
IMG20250703085550,Mites
IMG20250703085555,Unlabeled
IMG20250703085604,Unlabeled
IMG20250703085609,Unlabeled
IMG20250703085615,Unlabeled
IMG20250703085620,Unlabeled
IMG20250703085629,Unlabeled
IMG20250703085633,Unlabeled
IMG20250703085642,Unlabeled
IMG20250703085646,Unlabeled
IMG20250703085654,Unlabeled
IMG20250703085657,Unlabeled
IMG20250703085701,Unlabeled
IMG20250703085711,Unlabeled
IMG20250703085716,Unlabeled
IMG20250703085726,Unlabeled
IMG20250703085730,Unlabeled
IMG20250703085741,Unlabeled
IMG20250703085744,Unlabeled
IMG20250703085749,Unlabeled
IMG20250703085753,Unlabeled
IMG20250703085759,Unlabeled
IMG20250703085803,Unlabeled
IMG20250703085813,Unlabeled
IMG20250703085817,Unlabeled
IMG20250703085830,Unlabeled
IMG20250703085835,Unlabeled
IMG20250703085850,Unlabeled
IMG20250703085854,Unlabeled
IMG20250703085908,Unlabeled
IMG20250703085912,Unlabeled
IMG20250703085932,Unlabeled
IMG20250703085938,Unlabeled
IMG20250703085943,Unlabeled
IMG20250703085948,Unlabeled
IMG20250703090024,Unlabeled
IMG20250703090030,Unlabeled
IMG20250703090036,Unlabeled
IMG20250703090040,Unlabeled
IMG20250703090047,Unlabeled
IMG20250703090050,Unlabeled
IMG20250703090116,Unlabeled
IMG20250703090122,Unlabeled
IMG20250703090125,Unlabeled
IMG20250703090137,Unlabeled
IMG20250703090147,Unlabeled
IMG20250703090201,Unlabeled
IMG20250703090207,Unlabeled
IMG20250703090212,Unlabeled
IMG20250703090219,Unlabeled
IMG20250703090224,Unlabeled
IMG20250703090228,Unlabeled
IMG20250703090234,Unlabeled
IMG20250703090239,Unlabeled
IMG20250703090244,Unlabeled
IMG20250703090307,Unlabeled
IMG20250703090310,Unlabeled
IMG20250703090314,Unlabeled
IMG20250703090339,Unlabeled
IMG20250703090343,Unlabeled
IMG20250703090346,Unlabeled
IMG20250703090504,Unlabeled
IMG20250703090508,Unlabeled
IMG20250703090735,Unlabeled
IMG20250703090740,Unlabeled
IMG20250703090746,Unlabeled
IMG20250703090751,Unlabeled
IMG20250703090800,Unlabeled
IMG20250703090803,Unlabeled
IMG20250703090807,Unlabeled
IMG20250703090811,Unlabeled
IMG20250703090816,Unlabeled
IMG20250703090820,Unlabeled
IMG20250703090826,Unlabeled
IMG20250703090829,Unlabeled
IMG20250703090834,Unlabeled
IMG20250703090838,Unlabeled
IMG20250703090843,Unlabeled
IMG20250703090847,Unlabeled
IMG20250703090852,Unlabeled
IMG20250703090855,Unlabeled
IMG20250703090906,Unlabeled
IMG20250703090909,Unlabeled
IMG20250703090913,Unlabeled
IMG20250703090916,Unlabeled
IMG20250703090920,Unlabeled
IMG20250703090923,Unlabeled
IMG20250703090929,Unlabeled
IMG20250703090931,Unlabeled
IMG20250703090937,Unlabeled
IMG20250703090940,Unlabeled
IMG20250703090944,Unlabeled
IMG20250703090948,Unlabeled
IMG20250703090953,Unlabeled
IMG20250703090956,Unlabeled
IMG20250703091001,Unlabeled
IMG20250703091004,Unlabeled
IMG20250703091010,Unlabeled
IMG20250703091014,Unlabeled
IMG20250703091020,Unlabeled
IMG20250703091024,Unlabeled
IMG20250703091028,Unlabeled
IMG20250703091031,Unlabeled
IMG20250703091050,Unlabeled
IMG20250703091103,Unlabeled
IMG20250703091111,Unlabeled
IMG20250703091114,Unlabeled
IMG20250703091127,Unlabeled
IMG20250703091131,Unlabeled
IMG20250703091139,Unlabeled
IMG20250703091144,Unlabeled
IMG20250703091200,Unlabeled
IMG20250703091204,Unlabeled
IMG20250703091213,Unlabeled
IMG20250703091216,Unlabeled
IMG20250703091225,Unlabeled
IMG20250703091232,Unlabeled
IMG20250703091236,Unlabeled
IMG20250703091247,Unlabeled
IMG20250703091255,Unlabeled
IMG20250703091304,Unlabeled
IMG20250703091307,Unlabeled
IMG20250703091312,Unlabeled
IMG20250703091317,Unlabeled
IMG20250703091323,Unlabeled
IMG20250703091330,Unlabeled
IMG20250703091334,Unlabeled
IMG20250703091340,Unlabeled
IMG20250703091344,Unlabeled
IMG20250703091349,Unlabeled
IMG20250703091352,Unlabeled
IMG20250703091413,Unlabeled
IMG20250703091418,Unlabeled
IMG20250703091426,Unlabeled
IMG20250703091433,Unlabeled
IMG20250703091437,Unlabeled
IMG20250703091445,Unlabeled
IMG20250703091451,Unlabeled
IMG20250703091458,Unlabeled
IMG20250703091505,Unlabeled
IMG20250703091511,Unlabeled
IMG20250703091514,Unlabeled
IMG20250703091519,Unlabeled
IMG20250703091525,Unlabeled
IMG20250703091530,Unlabeled
IMG20250703091734,Unlabeled
IMG20250703091738,Unlabeled
IMG20250703091742,Unlabeled
IMG20250703091746,Unlabeled
IMG20250703091749,Unlabeled
IMG20250703091756,Unlabeled
IMG20250703091802,Unlabeled
IMG20250703091816,Unlabeled
IMG20250703091826,Unlabeled
IMG20250703091832,Unlabeled
IMG20250703091859,Unlabeled
IMG20250703091904,Unlabeled
IMG20250703091911,Unlabeled
IMG20250703091950,Unlabeled
IMG20250703091954,Unlabeled
IMG20250703091957,Unlabeled
IMG20250703092003,Unlabeled
IMG20250703092024,Unlabeled
IMG20250703092036,Unlabeled
IMG20250703092047,Unlabeled
IMG20250703092057,Unlabeled
IMG20250703092059,Unlabeled
IMG20250703092104,Unlabeled
IMG20250703092109,Unlabeled
IMG20250703092137,Anthracnose
IMG20250703092142,Anthracnose
IMG20250703092151,Anthracnose
IMG20250703092158,Anthracnose
IMG20250703092205,Anthracnose
IMG20250703092213,Anthracnose
IMG20250703092217,Anthracnose
IMG20250703092224,Anthracnose
IMG20250703092228,Anthracnose
IMG20250703092246,Anthracnose
IMG20250703092252,Anthracnose
IMG20250703092258,Anthracnose
IMG20250703092302,Anthracnose
IMG20250703092314,Unlabeled
IMG20250703092320,Unlabeled
IMG20250703092323,Unlabeled
IMG20250703092329,Unlabeled
IMG20250703092333,Unlabeled
IMG20250703092343,Unlabeled
IMG20250703092350,Unlabeled
IMG20250703092353,Unlabeled
IMG20250703092402,Unlabeled
IMG20250703092405,Unlabeled
IMG20250703092416,Unlabeled
IMG20250703092419,Unlabeled
IMG20250703092421,Unlabeled
IMG20250703092429,Unlabeled
IMG20250703092433,Unlabeled
