Name,Class
IMG20250703082739,Anthracnose
IMG20250703082750,
IMG20250703082806,Healthy
IMG20250703082816,
IMG20250703082830,
IMG20250703082833,Healthy
IMG20250703082912,
IMG20250703082919,
IMG20250703082922,
IMG20250703082939,Healthy
IMG20250703082957,
IMG20250703083020,
IMG20250703083030,
IMG20250703083042,Healthy
IMG20250703083049,Anthracnose
IMG20250703083056,
IMG20250703083106,Healthy
IMG20250703083121,Canker
IMG20250703083128,
IMG20250703083143,Healthy
IMG20250703083149,Anthracnose
IMG20250703083159,Borer
IMG20250703083205,Anthracnose
IMG20250703083214,Canker
IMG20250703083220,Anthracnose
IMG20250703083223,
IMG20250703083239,Borer
IMG20250703083249,Anthracnose
IMG20250703083311,Healthy
IMG20250703083314,Healthy
IMG20250703083319,
IMG20250703083326,
IMG20250703083330,
IMG20250703083336,Healthy
IMG20250703083340,
IMG20250703083352,
IMG20250703083357,Anthracnose
IMG20250703083402,Anthracnose
IMG20250703083508,
IMG20250703083513,Anthracnose
IMG20250703083520,
IMG20250703083621,
IMG20250703083634,Anthracnose
IMG20250703083713,Healthy
IMG20250703083721,Canker
IMG20250703083725,Canker
IMG20250703083729,Canker
IMG20250703083732,
IMG20250703083803,Borer
IMG20250703083809,Canker
IMG20250703083815,Healthy
IMG20250703083827,Canker
IMG20250703083842,Anthracnose
IMG20250703083848,
IMG20250703083851,Mites
IMG20250703083854,
IMG20250703083859,
IMG20250703083903,Healthy
IMG20250703083910,
IMG20250703083921,Healthy
IMG20250703083933,
IMG20250703083940,
IMG20250703083947,Canker
IMG20250703083951,Borer
IMG20250703084009,Healthy
IMG20250703084016,
IMG20250703084019,Canker
IMG20250703084026,Canker
IMG20250703084030,Borer
IMG20250703084033,Canker
IMG20250703084045,Anthracnose
IMG20250703084058,
IMG20250703084105,Anthracnose
IMG20250703084114,Canker
IMG20250703084121,Anthracnose
IMG20250703084128,
IMG20250703084134,Healthy
IMG20250703084141,Healthy
IMG20250703084147,Healthy
IMG20250703084150,Healthy
IMG20250703084155,Borer
IMG20250703084201,
IMG20250703084210,
IMG20250703084216,
IMG20250703084223,
IMG20250703084226,Healthy
IMG20250703084230,Canker
IMG20250703084237,
IMG20250703084242,Borer
IMG20250703084411,
IMG20250703084420,Anthracnose
IMG20250703084432,Anthracnose
IMG20250703084443,Anthracnose
IMG20250703084456,Anthracnose
IMG20250703084507,Anthracnose
IMG20250703084530,Anthracnose
IMG20250703084546,Anthracnose
IMG20250703084600,Anthracnose
IMG20250703084612,Anthracnose
IMG20250703084621,Anthracnose
IMG20250703084625,Anthracnose
IMG20250703084638,Anthracnose
IMG20250703084649,Anthracnose
IMG20250703084659,Canker
IMG20250703084713,Canker
IMG20250703084739,Anthracnose
IMG20250703084748,Canker
IMG20250703084756,Canker
IMG20250703084804,Anthracnose
IMG20250703084811,Canker
IMG20250703084817,
IMG20250703084829,
IMG20250703084833,Canker
IMG20250703084839,Canker
IMG20250703084848,
IMG20250703084857,Anthracnose
IMG20250703084904,Healthy
IMG20250703084918,Canker
IMG20250703084932,Canker
IMG20250703084935,Anthracnose
IMG20250703085016,Healthy
IMG20250703085020,Healthy
IMG20250703085029,Canker
IMG20250703085039,
IMG20250703085050,
IMG20250703085055,
IMG20250703085101,Canker
IMG20250703085104,Canker
IMG20250703085110,Anthracnose
IMG20250703085125,Borer
IMG20250703085130,Healthy
IMG20250703085232,Mites
IMG20250703085534,Mites
IMG20250703085540,Canker
IMG20250703085550,Mites
IMG20250703085555,Anthracnose
IMG20250703085604,Mites
IMG20250703085609,Canker
IMG20250703085615,
IMG20250703085620,
IMG20250703085629,Anthracnose
IMG20250703085633,Anthracnose
IMG20250703085642,Anthracnose
IMG20250703085646,Canker
IMG20250703085654,
IMG20250703085657,
IMG20250703085701,
IMG20250703085711,Anthracnose
IMG20250703085716,
IMG20250703085726,
IMG20250703085730,Canker
IMG20250703085741,
IMG20250703085744,
IMG20250703085749,Anthracnose
IMG20250703085753,Canker
IMG20250703085759,Canker
IMG20250703085803,Canker
IMG20250703085813,
IMG20250703085817,
IMG20250703085830,Canker
IMG20250703085835,
IMG20250703085850,Canker
IMG20250703085854,Canker
IMG20250703085908,
IMG20250703085912,
IMG20250703085932,Anthracnose
IMG20250703085938,Mites
IMG20250703085943,
IMG20250703085948,
IMG20250703090024,Anthracnose
IMG20250703090030,Mites
IMG20250703090036,Canker
IMG20250703090040,Anthracnose
IMG20250703090047,Mites
IMG20250703090050,Anthracnose
IMG20250703090116,
IMG20250703090122,
IMG20250703090125,
IMG20250703090137,Mites
IMG20250703090147,
IMG20250703090201,Canker
IMG20250703090207,
IMG20250703090212,
IMG20250703090219,Canker
IMG20250703090224,Canker
IMG20250703090228,Anthracnose
IMG20250703090234,
IMG20250703090239,
IMG20250703090244,
IMG20250703090307,Healthy
IMG20250703090310,Anthracnose
IMG20250703090314,Anthracnose
IMG20250703090339,Canker
IMG20250703090343,Anthracnose
IMG20250703090346,Canker
IMG20250703090504,Mites
IMG20250703090508,Mites
IMG20250703090735,Anthracnose
IMG20250703090740,
IMG20250703090746,Anthracnose
IMG20250703090751,Anthracnose
IMG20250703090800,Mites
IMG20250703090803,Anthracnose
IMG20250703090807,
IMG20250703090811,Anthracnose
IMG20250703090816,Anthracnose
IMG20250703090820,Anthracnose
IMG20250703090826,Anthracnose
IMG20250703090829,Anthracnose
IMG20250703090834,Anthracnose
IMG20250703090838,Anthracnose
IMG20250703090843,Healthy
IMG20250703090847,Mites
IMG20250703090852,Anthracnose
IMG20250703090855,Anthracnose
IMG20250703090906,Canker
IMG20250703090909,Canker
IMG20250703090913,
IMG20250703090916,Mites
IMG20250703090920,Mites
IMG20250703090923,Anthracnose
IMG20250703090929,Anthracnose
IMG20250703090931,Borer
IMG20250703090937,
IMG20250703090940,
IMG20250703090944,
IMG20250703090948,
IMG20250703090953,Anthracnose
IMG20250703090956,Anthracnose
IMG20250703091001,Anthracnose
IMG20250703091004,Anthracnose
IMG20250703091010,Canker
IMG20250703091014,Mites
IMG20250703091020,Anthracnose
IMG20250703091024,Borer
IMG20250703091028,Mites
IMG20250703091031,Mites
IMG20250703091050,Borer
IMG20250703091103,Anthracnose
IMG20250703091111,Anthracnose
IMG20250703091114,Anthracnose
IMG20250703091127,Anthracnose
IMG20250703091131,Canker
IMG20250703091139,Canker
IMG20250703091144,Anthracnose
IMG20250703091200,Anthracnose
IMG20250703091204,Canker
IMG20250703091213,
IMG20250703091216,
IMG20250703091225,
IMG20250703091232,
IMG20250703091236,
IMG20250703091247,
IMG20250703091255,
IMG20250703091304,
IMG20250703091307,
IMG20250703091312,Canker
IMG20250703091317,Canker
IMG20250703091323,Canker
IMG20250703091330,Anthracnose
IMG20250703091334,Anthracnose
IMG20250703091340,
IMG20250703091344,
IMG20250703091349,
IMG20250703091352,
IMG20250703091413,Mites
IMG20250703091418,Canker
IMG20250703091426,Canker
IMG20250703091433,Canker
IMG20250703091437,
IMG20250703091445,
IMG20250703091451,Canker
IMG20250703091458,
IMG20250703091505,
IMG20250703091511,
IMG20250703091514,Mites
IMG20250703091519,Mites
IMG20250703091525,Mites
IMG20250703091530,Anthracnose
IMG20250703091734,Canker
IMG20250703091738,Healthy
IMG20250703091742,Healthy
IMG20250703091746,Canker
IMG20250703091749,Healthy
IMG20250703091756,Healthy
IMG20250703091802,Healthy
IMG20250703091816,Healthy
IMG20250703091826,Healthy
IMG20250703091832,Canker
IMG20250703091859,Canker
IMG20250703091904,Borer
IMG20250703091911,Borer
IMG20250703091950,Canker
IMG20250703091954,Canker
IMG20250703091957,Canker
IMG20250703092003,Healthy
IMG20250703092024,Anthracnose
IMG20250703092036,Canker
IMG20250703092047,Healthy
IMG20250703092057,Anthracnose
IMG20250703092059,Anthracnose
IMG20250703092104,Anthracnose
IMG20250703092109,Anthracnose
IMG20250703092137,Anthracnose
IMG20250703092142,Anthracnose
IMG20250703092151,Anthracnose
IMG20250703092158,Anthracnose
IMG20250703092205,Anthracnose
IMG20250703092213,Anthracnose
IMG20250703092217,Borer
IMG20250703092224,
IMG20250703092228,
IMG20250703092246,
IMG20250703092252,
IMG20250703092258,
IMG20250703092302,Anthracnose
IMG20250703092314,
IMG20250703092320,Healthy
IMG20250703092323,Healthy
IMG20250703092329,Healthy
IMG20250703092333,Healthy
IMG20250703092343,
IMG20250703092350,Canker
IMG20250703092353,
IMG20250703092402,Canker
IMG20250703092405,Canker
IMG20250703092416,Anthracnose
IMG20250703092419,Healthy
IMG20250703092421,Healthy
